uid,typeEvent,inference,startDate,endDate,duration
u08,Physical activity,0,2013-03-27 00:01:34,2013-03-27 00:45:33,2639
u08,Physical activity,1,2013-03-27 00:45:36,2013-03-27 00:46:04,28
u08,Physical activity,2,2013-03-27 00:46:07,2013-03-27 00:46:14,7
u08,Physical activity,1,2013-03-27 00:46:17,2013-03-27 00:46:25,8
u08,Physical activity,2,2013-03-27 00:46:27,2013-03-27 00:49:35,188
u08,Physical activity,1,2013-03-27 00:49:38,2013-03-27 00:49:38,0
u08,Physical activity,2,2013-03-27 00:49:40,2013-03-27 00:49:40,0
u08,Physical activity,1,2013-03-27 00:49:43,2013-03-27 00:49:43,0
u08,Physical activity,2,2013-03-27 00:49:46,2013-03-27 00:49:46,0
u08,Physical activity,1,2013-03-27 00:49:48,2013-03-27 00:49:48,0
u08,Physical activity,2,2013-03-27 00:49:51,2013-03-27 00:49:51,0
u08,Physical activity,1,2013-03-27 00:49:53,2013-03-27 00:57:37,464
u08,Physical activity,2,2013-03-27 00:57:40,2013-03-27 00:57:58,18
u08,Physical activity,1,2013-03-27 00:58:00,2013-03-27 01:01:31,211
u08,Physical activity,2,2013-03-27 01:01:37,2013-03-27 01:01:44,7
u08,Physical activity,1,2013-03-27 01:01:47,2013-03-27 01:02:08,21
u08,Physical activity,0,2013-03-27 01:02:10,2013-03-27 01:10:09,479
u08,Physical activity,1,2013-03-27 01:10:12,2013-03-27 01:13:33,201
u08,Physical activity,0,2013-03-27 01:13:35,2013-03-27 09:13:45,28810
u08,Physical activity,1,2013-03-27 09:13:47,2013-03-27 09:14:21,34
u08,Physical activity,2,2013-03-27 09:14:23,2013-03-27 09:21:48,445
u08,Physical activity,1,2013-03-27 09:21:51,2013-03-27 09:22:01,10
u08,Physical activity,0,2013-03-27 09:22:04,2013-03-27 09:33:47,703
u08,Physical activity,1,2013-03-27 09:33:49,2013-03-27 09:34:00,11
u08,Physical activity,0,2013-03-27 09:34:02,2013-03-27 09:34:13,11
u08,Physical activity,1,2013-03-27 09:34:15,2013-03-27 09:34:31,16
u08,Physical activity,0,2013-03-27 09:34:33,2013-03-27 09:37:40,187
u08,Physical activity,1,2013-03-27 09:37:42,2013-03-27 09:49:41,719
u08,Physical activity,0,2013-03-27 09:49:43,2013-03-27 10:02:10,747
u08,Physical activity,3,2013-03-27 10:02:13,2013-03-27 10:05:47,214
u08,Physical activity,0,2013-03-27 10:05:49,2013-03-27 11:05:49,3600
u08,Physical activity,1,2013-03-27 11:06:26,2013-03-27 11:14:22,476
u08,Physical activity,0,2013-03-27 11:14:25,2013-03-27 12:22:32,4087
u08,Physical activity,1,2013-03-27 12:22:34,2013-03-27 12:38:39,965
u08,Physical activity,2,2013-03-27 12:41:42,2013-03-27 12:41:47,5
u08,Physical activity,1,2013-03-27 12:41:57,2013-03-27 12:42:08,11
u08,Physical activity,3,2013-03-27 12:42:10,2013-03-27 12:42:10,0
u08,Physical activity,0,2013-03-27 12:42:13,2013-03-27 12:42:15,2
u08,Physical activity,3,2013-03-27 12:42:18,2013-03-27 12:42:18,0
u08,Physical activity,0,2013-03-27 12:42:21,2013-03-27 12:45:49,208
u08,Physical activity,1,2013-03-27 12:45:52,2013-03-27 12:49:57,245
u08,Physical activity,2,2013-03-27 12:49:59,2013-03-27 12:50:25,26
u08,Physical activity,1,2013-03-27 12:50:27,2013-03-27 12:50:33,6
u08,Physical activity,2,2013-03-27 12:50:35,2013-03-27 12:53:46,191
u08,Physical activity,1,2013-03-27 12:53:48,2013-03-27 12:53:59,11
u08,Physical activity,2,2013-03-27 12:54:01,2013-03-27 12:54:12,11
u08,Physical activity,1,2013-03-27 12:54:14,2013-03-27 12:57:45,211
u08,Physical activity,0,2013-03-27 12:57:48,2013-03-27 12:57:58,10
u08,Physical activity,1,2013-03-27 12:58:01,2013-03-27 13:09:47,706
u08,Physical activity,0,2013-03-27 13:09:52,2013-03-27 13:13:53,241
u08,Physical activity,1,2013-03-27 13:13:55,2013-03-27 13:13:58,3
u08,Physical activity,0,2013-03-27 13:14:00,2013-03-27 13:14:16,16
u08,Physical activity,1,2013-03-27 13:14:18,2013-03-27 13:17:47,209
u08,Physical activity,3,2013-03-27 13:17:50,2013-03-27 13:17:50,0
u08,Physical activity,0,2013-03-27 13:17:52,2013-03-27 13:21:49,237
u08,Physical activity,1,2013-03-27 13:21:52,2013-03-27 13:21:57,5
u08,Physical activity,0,2013-03-27 13:22:00,2013-03-27 13:22:07,7
u08,Physical activity,1,2013-03-27 13:22:10,2013-03-27 13:22:18,8
u08,Physical activity,0,2013-03-27 13:22:20,2013-03-27 13:22:33,13
u08,Physical activity,1,2013-03-27 13:22:36,2013-03-27 13:22:36,0
u08,Physical activity,0,2013-03-27 13:22:38,2013-03-27 13:37:50,912
u08,Physical activity,1,2013-03-27 13:37:53,2013-03-27 13:38:06,13
u08,Physical activity,2,2013-03-27 13:38:08,2013-03-27 13:38:29,21
u08,Physical activity,1,2013-03-27 13:38:31,2013-03-27 13:41:49,198
u08,Physical activity,2,2013-03-27 13:41:52,2013-03-27 13:41:57,5
u08,Physical activity,1,2013-03-27 13:42:00,2013-03-27 13:42:00,0
u08,Physical activity,2,2013-03-27 13:42:02,2013-03-27 13:42:02,0
u08,Physical activity,1,2013-03-27 13:42:05,2013-03-27 13:45:42,217
u08,Physical activity,0,2013-03-27 13:45:45,2013-03-27 13:45:58,13
u08,Physical activity,3,2013-03-27 13:46:03,2013-03-27 13:46:06,3
