uid,typeEvent,inference,startDate,endDate,duration
u42,Physical activity,0,2013-03-27 14:44:29,2013-04-01 17:48:33,11044
u42,Physical activity,1,2013-04-01 17:48:40,2013-04-01 17:52:12,212
u42,Physical activity,0,2013-04-01 17:52:15,2013-04-01 17:52:25,10
u42,Physical activity,1,2013-04-01 17:52:41,2013-04-01 17:52:41,0
u42,Physical activity,0,2013-04-01 17:55:51,2013-04-01 17:56:27,36
u42,Physical activity,3,2013-04-01 17:56:30,2013-04-01 17:59:58,208
u42,Physical activity,0,2013-04-01 18:00:01,2013-04-01 18:07:54,473
u42,Physical activity,1,2013-04-01 18:07:59,2013-04-01 18:11:51,232
u42,Physical activity,0,2013-04-01 18:11:53,2013-04-01 18:16:09,256
u42,Physical activity,3,2013-04-01 18:16:11,2013-04-01 18:16:11,0
u42,Physical activity,0,2013-04-01 18:16:14,2013-04-01 18:16:24,10
u42,Physical activity,3,2013-04-01 18:16:27,2013-04-01 18:16:27,0
u42,Physical activity,0,2013-04-01 18:16:29,2013-04-01 18:16:29,0
u42,Physical activity,3,2013-04-01 18:16:32,2013-04-01 18:16:45,13
u42,Physical activity,0,2013-04-01 18:19:48,2013-04-01 18:19:58,10
u42,Physical activity,3,2013-04-01 18:20:00,2013-04-01 18:23:47,227
u42,Physical activity,0,2013-04-01 18:23:50,2013-04-01 18:24:00,10
u42,Physical activity,3,2013-04-01 18:24:03,2013-04-01 18:24:16,13
u42,Physical activity,0,2013-04-01 18:24:18,2013-04-01 18:24:28,10
u42,Physical activity,3,2013-04-01 18:24:31,2013-04-01 18:28:02,211
u42,Physical activity,0,2013-04-01 18:28:10,2013-04-01 18:28:18,8
u42,Physical activity,3,2013-04-01 18:28:20,2013-04-01 18:28:25,5
u42,Physical activity,0,2013-04-01 18:28:28,2013-04-01 18:31:55,207
u42,Physical activity,3,2013-04-01 18:31:58,2013-04-01 18:32:08,10
u42,Physical activity,0,2013-04-01 18:32:11,2013-04-01 18:32:21,10
u42,Physical activity,3,2013-04-01 18:32:24,2013-04-01 18:32:24,0
u42,Physical activity,0,2013-04-01 18:32:26,2013-04-01 18:32:36,10
u42,Physical activity,3,2013-04-01 18:32:39,2013-04-01 18:35:52,193
u42,Physical activity,0,2013-04-01 18:35:55,2013-04-01 18:40:00,245
u42,Physical activity,3,2013-04-01 18:40:03,2013-04-01 18:40:03,0
u42,Physical activity,0,2013-04-01 18:40:05,2013-04-01 18:40:05,0
u42,Physical activity,3,2013-04-01 18:40:08,2013-04-01 18:40:08,0
u42,Physical activity,0,2013-04-01 18:40:10,2013-04-01 18:43:52,222
u42,Physical activity,3,2013-04-01 18:43:54,2013-04-01 18:47:48,234
u42,Physical activity,0,2013-04-01 18:47:51,2013-04-01 19:04:23,992
u42,Physical activity,3,2013-04-01 19:04:25,2013-04-01 19:04:30,5
u42,Physical activity,0,2013-04-01 19:04:33,2013-04-01 20:48:09,6216
u42,Physical activity,3,2013-04-01 20:48:12,2013-04-01 20:48:30,18
u42,Physical activity,0,2013-04-01 20:48:32,2013-04-01 20:48:42,10
u42,Physical activity,3,2013-04-01 20:48:45,2013-04-01 20:48:48,3
u42,Physical activity,0,2013-04-01 20:51:50,2013-04-01 20:51:50,0
u42,Physical activity,3,2013-04-01 20:51:53,2013-04-01 20:51:53,0
u42,Physical activity,0,2013-04-01 20:51:55,2013-04-01 20:52:24,29
u42,Physical activity,3,2013-04-01 20:52:26,2013-04-01 20:52:26,0
u42,Physical activity,0,2013-04-01 20:52:29,2013-04-01 20:55:55,206
u42,Physical activity,3,2013-04-01 20:55:58,2013-04-01 21:00:05,247
u42,Physical activity,0,2013-04-01 21:00:08,2013-04-01 21:00:18,10
